Flora_Botanical_Name,Flora_Name,Flora_AKA,Flora_Family,Flora_Origin,Flora_Geo_Range,Flora_Zones,Flora_Habitat,Flora_Media_1,Flora_Media_2,Flora_Height,Flora_Height Details,Flora_Image_1,Flora_Image_2,Flora_Image_3,Flora_Conservation_Status,Flora_Conservation_Status_SVGKey,Flora_Description,Flora_Fun_Facts,Flora_Ecological,Flora_Medicinal,Flora_Culinary,Flora_Cultural,Flora_Parts,Flora_Button_Media,Flora_Flowering_Key,Flora_Type_Key,Flora_HoHLocation,Flora_Quiz_Question,Flora_Quiz_OptionA,Flora_Quiz_OptionB,Flora_Quiz_OptionC,Flora_Quiz_OptionD,Flora_Quiz_Correct
Butea monosperma,Flame of the Forest ,Palash,Fabaceae,Native,"Native to tropical and subtropical regions of South and Southeast Asia, it is widely distributed across India, Nepal, Bangladesh, Myanmar, Thailand, Sri Lanka and parts of Indochina. ","India, Nepal, Bangladesh, Myanmar, Thailand, Sri_Lanka, China, South_Asia, Southeast_Asia","In India, the Flame of the Forest tree thrives in dry deciduous forests, plains and open grasslands, often at elevations up to 1200 m. It is well-adapted to poor, dry soils and is commonly found along roadsides and forest margins.",Animations\Flora\Single Plants\Butea_monosperma.mp4,Images\Illustrations\Trees\Butea_monosperma.webp,5 - 15 m,Based on typical growth documented  in natural conditions across multiple regions.,Images\Flora\Butea_monosperma_01.webp,Images\Flora\Butea_monosperma_02.webp,Images\Flora\Butea_monosperma_03.webp,Least Concern,LC,"Flame of the Forest is a medium-sized deciduous tree growing up to about 15 meters tall. It is famous for its brilliant orange-red flowers that appear in dense clusters before new leaves emerge, making the entire tree look as if it is on fire. The bark is rough and greyish-brown, while the leaves are large, leathery and trifoliate, meaning each leaf is divided into three leaflets. The pea-shaped flowers attract birds and bees and after flowering the tree produces flat pods, each usually containing a single seed.",The bright flowers of the Flame of the Forest were traditionally used as a natural dye for fabrics and to make coloured water for the Holi festival.,"The Flame of the Forest tree provides abundant nectar for birds, bees and insects during the dry season when few other trees are in bloom. It also hosts the lac insect, which produces shellac. Its fallen leaves improve soil fertility, helping in soil conservation and ecological restoration.","Widely used in Ayurveda and folk medicine, the Flame of the Forest or Palash flowers are used as tonics and for skin problems. The bark is astringent and anti-inflammatory, used for digestive disorders. Seeds are used against intestinal worms and the gum, known as Palash gum, is used in treating diarrhea and diabetes.","Flame of the Forest flowers are used to prepare a traditional herbal drink, especially during Holi. In some regions, tender leaves are used as natural plates for serving food.","Regarded as sacred in Indian tradition, the Flame of the Forest tree is associated with fire, purity and the god Agni. It is frequently mentioned in ancient texts and poetry for its dramatic beauty and symbolism.","Bark: Rough and greyish-brown; used for its astringent and medicinal properties.

Leaves: Large, trifoliate and leathery; shed seasonally and used for leaf plates. They enrich the soil after falling.

Flowers & Fruit: Bright orange-red, pea-shaped flowers bloom before leafing, creating a flaming appearance. Flat pods develop after flowering, usually with one seed.",Animations\Flora\Buttons\Butea_monosperma.webp,Yes,Deciduous,Near Acacia Bldg Garden,What gives the Flame of the Forest its dramatic  flaming  appearance?,Flowers with no leaves,Red-coloured bark,Dense evergreen foliage,Fruits covering the branches,A
Calophylum innophyllum,Alexandrian Laurel,"Undi, Tamanu",Calophyllaceae,Native,"This tree is native to the Indian Ocean and Pacific regions, including India, Sri Lanka, Southeast Asia, Polynesia and Melanesia, Northern Australia and the coastal regions of East Africa.
","India, Sri_Lanka, Southeast_Asia, Papua_NG, Northern_Australia, East_Africa","It thrives in tropical coastal areas, especially on sandy shores, coral flats and rocky beaches, showing strong tolerance to salt spray, wind and drought.",Animations\Flora\Single Plants\Calophylum_innophyllum.mp4,Images\Illustrations\Trees\Calophylum_innophyllum.webp,8 - 20 m,Based on typical growth documented  in natural conditions across multiple regions.,Images\Flora\Calophylum_innophyllum_01.webp,Images\Flora\Calophylum_innophyllum_02.webp,Images\Flora\Calophylum_innophyllum_03.webp,Least Concern,LC,"Alexandrian Laurel is a large evergreen tree growing about 8 - 20 meters tall, with a dense, rounded crown and a thick, gnarled trunk. Its leaves are glossy, leathery and dark green, marked by distinctive pale veins that make them easy to recognize. The tree bears clusters of fragrant white flowers with yellow centers, adding to its ornamental appeal. Round fruits develop after flowering, each containing a single large kernel that yields tamanu oil, widely known for its skin-healing properties. The wood is durable and has traditionally been used for boats, carvings and sacred objects. Remarkably, the tree can thrive on coastal sites, even growing directly on coral sands.","Alexandrian Laurel is one of the few trees capable of growing on coral sands, making it especially valuable along tropical coastlines.","This tree plays an important role in coastal protection by stabilizing sandy soils and reducing shoreline erosion. Its dense canopy provides shade in coastal villages, while its flowers offer nectar for bees. The fruits are adapted for marine dispersal, helping the species spread naturally along shores and islands.","The Alexandrian Laurel tree is highly valued for tamanu oil extracted from its seeds. This oil is traditionally used for wound healing, burns, scars, skin infections and conditions such as eczema and psoriasis. It shows anti-inflammatory, antimicrobial and antioxidant properties. Leaf and bark decoctions are used for rheumatism, ulcers, stomach ailments, eye infections and joint pain. Tamanu oil is also widely used in cosmetics, creams and soaps.",The Alexandrian Laurel fruits and seeds are not edible due to toxicity. Tamanu oil is used only for medicinal and cosmetic purposes and not for cooking.,"Considered sacred in South India, Sri Lanka, Polynesia and Southeast Asia, the Alexandrian Laurel tree is often planted near temples and shrines. Its fragrant flowers are used in garlands and ceremonies. Tamanu oil and the durable wood contribute to traditional crafts, rituals and community heritage.","Bark: Used in traditional decoctions for ulcers, joint pain and eye infections.

Leaves: Thick, glossy and veined; used in medicinal preparations and valued for providing dense shade.

Flowers & Fruit: Fragrant white flowers in clusters; round fruits with oil-rich kernels used to produce tamanu oil.",Animations\Flora\Buttons\Calophylum_innophyllum.webp,Yes,Evergreen,Villa Royal ,What makes Alexandrian Laurel especially valuable in traditional medicine?,Its edible fruits,Its fast growth rate,Its oil-rich seeds ,Its brightly colored bark,C
Careya arborea,Ceylon Oak,"Kumbha, Wild Guava",Lecythidaceae,Native,"The Ceylon Oak is native to South and Southeast Asia. It is widely found in India, Sri Lanka, Nepal, Myanmar, Thailand, Laos, Vietnam. In India, it grows naturally across the Western Ghats, Central India, Eastern Ghats and parts of the Himalayas. ","India, Sri_Lanka, Nepal, Myanmar, Thailand, Laos, Vietnam, South_Asia, Southeast_Asia","Grows common in dry deciduous forests, plains and hilly regions with a preference for well-drained, sandy to loamy soils.",Animations\Flora\Single Plants\Careya_arborea.mp4,Images\Illustrations\Trees\Careya_arborea.webp,upto 15 m,Based on typical growth documented  in natural conditions across multiple regions.,Images\Flora\Careya_arborea_01.webp,Images\Flora\Careya_arborea_02.webp,Images\Flora\Careya_arborea_03.webp,Least Concern,LC,"Ceylon Oak is a medium-sized deciduous tree growing about 10 - 15 meters tall, with a spreading crown and a strong, upright form. It is especially striking during the dry season when its large, obovate leaves turn bright red or orange before falling. The tree produces large, brush-like flowers that are white to pale yellow, with many long stamens and these appear before new leaves emerge. The fruits are large, hard and round, resembling guava in shape but not in sweetness. The fibrous bark was historically used for making slow-burning matches, giving the tree its name ""Slow Match Tree.""","The bark of Ceylon Oak was once used to make slow-burning matches for lighting cannons, long before modern ignition methods existed.","The Ceylon Oak flowers open in the evening or early morning and attract bees, bats and other pollinators. The hard, buoyant fruits aid natural seed dispersal, while the tree's deep root system helps stabilize soil in deciduous forest landscapes. It supports both pollinators and fruit-eating wildlife.","In traditional medicine, the Ceylon Oak bark is used as an astringent for diarrhea, dysentery and skin ailments. Leaves are applied to wounds and inflammatory conditions. Flowers are valued for their cooling effect and are used in decoctions for fever and digestive problems. Fruits are used in folk remedies for respiratory issues and as a mild laxative.","Although the Ceylon Oak fruit is not sweet, the inner pulp is sometimes cooked and used in traditional tribal dishes. Tender leaves are eaten as a vegetable or salad by some indigenous communities, particularly in Northeast India.","The Ceylon Oak tree holds cultural importance in many regions of India as a ritual and medicinal species. Tribal communities use its bark, leaves and fibres for crafts, cordage and utensils. Knowledge of its uses has been passed down through generations as part of traditional ecological practices.","Bark: Thick and fibrous; used for slow matches, medicine and craft materials.

Leaves: Large and obovate; turn red or orange before shedding and are used medicinally and as food.

Flowers & Fruit: Showy, stamen-rich flowers bloom before leafing; hard, globose fruits with firm pulp aid dispersal.",Animations\Flora\Buttons\Careya_arborea.webp,Yes,Deciduous,Lexington,Why is Careya arborea or Ceylon Oak called the  Slow Match Tree ?,Flowers bloom slowly,Wood is very hard,Leaves ignite easily,Bark burns slowing,D
Cassia fistula,Indian Laburnum,"Golden Shower Tree, Bahawa, Amaltas",Caesalpiniaceae,Native,"Commonly identified as Amaltas, this tree is native to South Asia, particularly India, Sri Lanka and Myanmar. It is widely cultivated across tropical and subtropical regions around the world, including Southeast Asia, Africa, the Caribbean and Central and South America. In India, it is often planted as an ornamental and avenue tree due to its vibrant floral display and resilience to drought conditions.","India, Sri_Lanka, Myanmar, South_Asia, Southeast_Asia, Africa, Caribbean, Central_America, South_America","This tree grows well in dry climates, preferring the full sun and well-drained soil. It is relatively drought-tolerant and slightly salt-tolerant. ",Animations\Flora\Single Plants\Cassia_fistula.mp4,Images\Illustrations\Trees\Cassia_fistula.webp,10 - 20 m,Based on typical growth documented  in natural conditions across multiple regions.,Images\Flora\Cassia_fistula_01.webp,Images\Flora\Cassia_fistula_02.webp,Images\Flora\Cassia_fistula_03.webp,Least Concern,LC,"Indian Laburnum is a medium-sized deciduous tree growing about 10 - 20 meters tall, with a straight trunk and smooth grey bark. It is best known for its long, hanging clusters of bright yellow flowers that bloom in late spring and early summer, often covering the tree in a golden curtain. The leaves are compound, made up of 4 - 8 pairs of leaflets that create a light, airy canopy. After flowering, the tree produces long, cylindrical pods filled with shiny dark seeds embedded in a sticky pulp.","Indian Laburnum is the state flower of Kerala, where its flowering coincides with the Vishu festival, symbolizing the traditional New Year and new beginnings.","The abundant yellow flowers of the Indian Laburnum attract bees, butterflies and birds, making the tree important for pollinators. Its broad canopy provides shade, while its strong roots help stabilize soil in dry regions. The tree's drought tolerance also makes it suitable for urban planting and reforestation in tropical climates.","In Ayurvedic medicine, the Indian Laburnum fruit pulp is used as a mild laxative and for treating fever, skin diseases and digestive disorders. The bark and leaves are valued for their antimicrobial, anti-inflammatory and antioxidant properties.","The Indian Laburnum tree is not commonly used as a food source. However, small quantities of the fruit pulp are sometimes included in traditional herbal preparations for their cleansing and detoxifying effects.","Indian Laburnum holds strong cultural value across South and Southeast Asia, symbolizing prosperity, purity and renewal. It is the national tree of Thailand and is planted near Buddhist temples as a sacred species. In Kerala, it plays a central role in seasonal celebrations and rituals.","Bark: Smooth and grey; used traditionally for medicinal preparations.

Leaves: Compound leaves with multiple leaflets, forming a light canopy and used in traditional remedies.

Flowers & Fruit: Long, pendulous clusters of bright yellow flowers bloom in late spring and early summer; cylindrical pods contain seeds set in sticky pulp.",Animations\Flora\Buttons\Cassia_fistula.webp,Yes,Deciduous,Tennis Court Garden,What makes the Indian Laburnum especially important in Kerala?,It produces edible fruits,It flowers in monsoon,It is the state flower ,It grows only in forests ,C
Cinnamomum tamala,Indian Bay Leaf,Tejpatta,Lauraceae,Native,"The Indian Bay Leaf is native to the Indian subcontinent, especially the Himalayan regions of India, Nepal, Bhutan and Sikkim, parts of Myanmar and the hill forests of North-East India.

","India, Nepal, Bhutan, Myanmar","It thrives in subtropical to temperate climates, especially at elevations between 500 2,000 m, growing in moist, evergreen and mixed broadleaf forests.",Animations\Flora\Single Plants\Cinnamomum_tamala.mp4,Images\Illustrations\Trees\Cinnamomum_tamala.webp,6 - 20 m,Based on typical growth documented  in natural conditions across multiple regions.,Images\Flora\Cinnamomum_tamala_01.webp,Images\Flora\Cinnamomum_tamala_02.webp,,Least Concern,LC,"Indian Bay Leaf is an aromatic evergreen tree growing about 6 - 12 meters tall, with a straight trunk and dense, glossy foliage. The leaves are leathery and lance-shaped, releasing a sweet, spicy aroma when crushed. Small yellowish flowers appear in clusters, followed by dark purple berries. The leaves, bark and oils of the tree are widely valued, especially the leaves, which are sustainably harvested and used as a long-term spice resource in South Asia. The wood and bark are secondary products, while the leaves remain the most important part of the tree.","Indian Bay Leaf is often mistaken for Mediterranean bay leaf, but the two come from different plant families and have very different flavours and aromas.","The tree grows well in hill and forest regions and supports agroforestry systems by providing shade and helping stabilize soil on slopes and terraced farmland. Its flowers offer nectar to insects and the dense canopy provides habitat for birds, supporting local forest biodiversity.","In Ayurveda, Indian Bay Leaf is used as a digestive aid and to improve metabolism. Leaves and bark are used to treat indigestion, flatulence, diabetes, respiratory problems, cough and cold. The plant shows antimicrobial, antioxidant and anti-inflammatory properties. Leaf oil is also used in aromatherapy and as a mild antiseptic.","The aromatic leaves, known as tejpat, are widely used in Indian, Nepali and Bhutanese cooking. They are added to curries, biryani, soups, masalas and pickles, giving a mild, cinnamon-like flavour. The bark and essential oil are sometimes used for additional flavouring.","Indian Bay Leaf has long been valued in temple rituals and royal kitchens and continues to be important in Himalayan communities, where leaves are burned for purification. It supports local livelihoods in forest-dependent regions and is considered a heritage spice linking cuisine, culture and traditional medicine.","Bark: Aromatic and used in traditional medicine and occasional flavouring.

Leaves: Leathery, fragrant and harvested year-round; used as a major culinary spice and medicinal ingredient.

Flowers & Fruit: Small yellowish flowers followed by dark purple berries that support forest wildlife.",Animations\Flora\Buttons\Cinnamomum_tamala.webp,Yes,Evergreen,Skylark Bldg,What makes Indian Bay Leaf important as a sustainable spice crop?,Flowers harvested annually,Only roots are harvested,Leaves harvested sustainably,It requires no soil to grow,C
Cinnamomum verum,True Cinnamon,Dalchini,Lauraceae,Native,"True Cinnamon is native to Sri Lanka and parts of southern India. Today, it is cultivated in Sri Lanka, India (Kerala, Tamil Nadu), Madagascar, Seychelles, Indonesia & other humid tropical regions.

","Sri_Lanka, India, Madagascar, Seychelles, Indonesia","True Cinnamon grows best in warm, humid tropical climates, especially in well-drained loamy soils and elevations up to 1,000 m.",Animations\Flora\Single Plants\Cinnamomum_verum.mp4,Images\Illustrations\Trees\Cinnamomum_verum.webp,10 - 15 m,Based on typical growth documented  in natural conditions across multiple regions.,Images\Flora\Cinnamomum_verum_01.webp,Images\Flora\Cinnamomum_verum_02.webp,Images\Flora\Cinnamomum_verum_03.webp,Least Concern,LC,"True Cinnamon is an evergreen tree growing about 8 - 15 meters tall, with smooth bark and dense, aromatic foliage. The leaves are shiny, leathery and lance-shaped, with young leaves showing a reddish tint. Small yellowish-white flowers appear in clusters, followed by dark purple berries. The most valued part of the tree is its inner bark, which is carefully peeled, dried and rolled into thin, delicate quills. These soft, layered quills are prized worldwide for their refined aroma and gentle, sweet flavour, making True Cinnamon distinct from stronger cassia types.","True Cinnamon quills are made of many thin layers rolled together, which is why they crumble easily and are considered superior to thicker cassia sticks.","Cinnamon trees are well suited to plantation and agroforestry systems, where they support biodiversity by providing habitat for birds, insects and soil organisms. Sustainable harvesting of bark and leaves allows the tree to regenerate, making it an environmentally responsible spice crop.","Used in Ayurveda and traditional medicine, True Cinnamon helps improve digestion, regulate blood sugar, reduce inflammation and fight microbial infections. It is used for colds, coughs, circulation issues and joint pain. Cinnamon essential oil is also used in aromatherapy and as a natural preservative.","Highly valued for its light, sweet and refined flavour, True Cinnamon is used in desserts, curries, teas, spice blends, garam masala and masala chai. Cinnamon oil from bark and leaves is used in beverages, candies and flavoured foods.","Deeply rooted in Sri Lankan heritage, cinnamon has been cultivated for over 2,000 years and played a major role in global spice trade and history. It provides livelihoods through sustainable farming and symbolizes warmth, prosperity and healing in many cultures.","Bark: Inner bark is peeled and dried to make delicate cinnamon quills and oil.

Leaves: Aromatic and leathery; used for oil extraction and flavouring.

Flowers & Fruit: Small yellowish-white flowers followed by dark purple berries that support wildlife.",Animations\Flora\Buttons\Cinnamomum_verum.webp,Yes,Evergreen,Eden,What distinguishes True Cinnamon from Cassia Cinnamon?,Grows only in cold climates,"A thicker, harder bark",Used only for medicine,Milder flavour and thin quills,D
Couroupita guianensis,Cannonball Tree,"Shivling, Kailasapati",Lecythidaceae,Introduced,"The Cannonball Tree is native to the tropical forests of northern South America, including
Guyana, Brazil, Colombia, Venezuela and Ecuador. It is now widely cultivated in India, Sri Lanka and much of Southeast Asia.","Guyana, Brazil, Colombia, Venezuela, Ecuador, India, Sri_Lanka, South_America, Southeast_Asia","The tree thrives in moist tropical climates, often grown as an ornamental and sacred tree.",Animations\Flora\Single Plants\Couroupita_guianensis.mp4,Images\Illustrations\Trees\Couroupita_guianensis.webp,upto 35 m,Based on typical growth documented  in natural conditions across multiple regions.,Images\Flora\Couroupita_guianensis_01.webp,Images\Flora\Couroupita_guianensis_02.webp,Images\Flora\Couroupita_guianensis_03.webp,Least Concern,LC,"The Cannonball Tree is a large deciduous tree growing about 20 - 35 meters tall, with a straight trunk and a wide, spreading crown. One of its most remarkable features is cauliflory, meaning the flowers grow directly from the trunk and main branches rather than from the tips. The flowers are large, waxy and strongly fragrant, showing a mix of pink, red, yellow and white colours. They attract bees, especially carpenter bees. The tree produces large, round, woody fruits that resemble cannonballs and measure about 15 - 25 cm in diameter. These heavy fruits fall to the ground and break open to release the seeds.","When ripe Cannonball fruits fall, they can hit the ground with a loud crash, which is how the tree got its dramatic name.","The strongly scented Cannonball flowers attract a variety of pollinators, including bees, bats and insects, supporting biodiversity. The tree creates microhabitats around its trunk and fallen fruits, adding to the ecological richness of tropical landscapes.","In traditional medicine, Cannonball flowers and leaves are used to treat skin diseases, inflammation and wounds. The fruit pulp is applied for fungal infections, pain relief and cold-related ailments. Bark extracts are used for their anti-inflammatory, antimicrobial and antioxidant properties and the tree is also used in folk remedies for diarrhea, hypertension, tumors and toothache.","The Cannonball tree is not used for human consumption, as the fruit pulp has a strong and unpleasant odor. In some rural areas, the fruit is occasionally used as animal feed, though this is uncommon.","The Cannonball Tree is considered sacred in Hinduism and Buddhism and is often planted near temples. In India, the flower is associated with Lord Shiva and is believed to resemble a Shivalinga, symbolizing purity and divinity. Its striking appearance makes it popular as an ornamental tree in parks, universities and spiritual complexes.","Bark: Used in traditional medicine for its anti-inflammatory and antimicrobial properties.

Leaves: Used for treating skin conditions and wounds in folk medicine.

Flowers & Fruit: Large, fragrant flowers bloom year-round directly from the trunk; heavy, spherical fruits fall and break open to disperse seeds.",Animations\Flora\Buttons\Couroupita_guianensis.webp,Yes,Deciduous,Apollo,What makes the flowering of the Cannonball Tree unique?,Flowers bloom at night,Flowers grow from the trunk,Flowers change colour,Flowers bloom once a year,B
Dalbergia sissoo,Indian Rosewood,Shisham,Fabaceae,Native,"Indian Rosewood is native to the Indian subcontinent, including India, Pakistan, Nepal, Bhutan, Bangladesh and Afghanistan. It has also been introduced and is now cultivated in Africa, the Middle East and Southeast Asia.","India, Pakistan, Nepal, Bhutan, Bangladesh, Afghanistan, South_Asia, Africa, Middle_East, Southeast_Asia","Indian Rosewood grows naturally along the banks of rivers and in the foothills of the Himalayas at elevations between 200 to 1500 m. The species thrives in tropical and subtropical climates and tolerates a wide range of soils, from alluvial plains to rocky hillsides.",Animations\Flora\Single Plants\Dalbergia_sissoo.mp4,Images\Illustrations\Trees\Dalbergia_sissoo.webp,~ 25 m,Based on typical growth documented  in natural conditions across multiple regions.,Images\Flora\Dalbergia_sissoo_01.webp,Images\Flora\Dalbergia_sissoo_02.webp,Images\Flora\Dalbergia_sissoo_03.webp,Near Threatened,NT,"Indian Rosewood is a large deciduous tree growing about 20 - 30 meters tall, with a thick trunk that can reach up to 2 meters in diameter. The bark is rough, greyish-brown and peels off in narrow strips. In spring, the tree bears small, fragrant flowers that are white to pale pink and pea-shaped, growing in clusters from the leaf axils. Flat, thin pods develop after flowering, each containing several flat seeds. The tree is especially valued for its hard, richly grained timber, prized in furniture and craftsmanship for its strength, natural polish and termite resistance.","Indian Rosewood timber is considered one of the finest hardwoods in South Asia, renowned for its durability and natural sheen without heavy finishing.","The tree helps improve soil health through nitrogen fixation, a natural process where soil fertility is enhanced. It is commonly planted along riverbanks and in agroforestry systems, where its roots help prevent erosion. Its flowers attract bees, supporting pollination and honey production, while its canopy provides shade and habitat for wildlife.","In Ayurvedic and Unani medicine, the bark, leaves and seeds are used for their anti-inflammatory, analgesic and antioxidant properties. Bark preparations are used to treat skin diseases, ulcers, dysentery, fever and rheumatism. Leaves are applied externally to reduce swelling and seed or wood extracts are sometimes used for pain relief and blood purification.","The tree has no direct culinary use for people. However, its leaves are commonly used as fodder for livestock and its flowers support honey production by attracting bees.","Indian Rosewood symbolizes strength and endurance in many South Asian cultures, reflecting the toughness and longevity of its wood. It plays an important economic role through the timber trade and rural craftsmanship. Widely used in reforestation and agroforestry, the tree supports livelihoods while contributing to environmental stability.","Bark: Thick, rough and exfoliating; used medicinally for skin and digestive ailments.

Leaves: Leaves are alternate and pinnate, meaning they are divided into 3 - 5 broad, oval leaflets arranged along a central stalk. They are used externally in medicine and as livestock fodder.

Flowers & Fruit: Small fragrant flowers bloom in spring; flat pods with several seeds form after flowering.",Animations\Flora\Buttons\Dalbergia_sissoo.webp,Yes,Deciduous,Podar School Pavement,What makes Indian Rosewood especially valuable for furniture making?,Its termite-resistant nature,Its fast-growing nature,Its bright-colored flowers,Its edible fruits,A
Dillenia indica,Elephant Apple,Karambal,Dilleniaceae,Native,"The Elephant Apple tree is native to tropical and subtropical regions of South and Southeast Asia, including east, north-east and southern India, Bangladesh, Nepal, Bhutan, Myanmar, Thailand and Vietnam.","India, Bangladesh, Nepal, Bhutan, Myanmar, Thailand, Vietnam, South_Asia, Southeast_Asia","This tree prefers moist deciduous forests, riverine habitats and humid lowlands and is often planted in village landscapes for shade and fruit.",Animations\Flora\Single Plants\Dillenia_indica.mp4,Images\Illustrations\Trees\Dillenia_indica.webp,upto 15 m,Based on typical growth documented  in natural conditions across multiple regions.,Images\Flora\Dillenia_indica_01.webp,Images\Flora\Dillenia_indica_02.webp,Images\Flora\Dillenia_indica_03.webp,Least Concern,LC,"Elephant Apple is a medium to large evergreen tree growing about 10 - 15 meters tall, with a dense, rounded crown. The leaves are large, leathery and glossy, with prominent veins that give the tree a bold appearance. It produces very large, white, fragrant flowers measuring up to 15 - 20 cm across, with striking yellow stamens, making the tree highly ornamental when in bloom. The fruits are large, green and deeply segmented, resembling a floral form. The pulp is fleshy and strongly acidic, becoming aromatic as it ripens. Because the fresh fruit is extremely hard, it is often left to soften naturally before use.","Elephants are known to eat the fruits, which is how the Elephant Apple got its name. When ripe fruits fall and break open, animals help disperse the seeds naturally.","The Elephant Apple tree provides important food for wildlife such as elephants, monkeys and fruit-eating birds. Animal-assisted seed dispersal helps forest regeneration. Its dense canopy offers shade and the tree helps maintain soil moisture, supporting biodiversity in humid forests and wetland ecosystems.","In traditional medicine, the Elephant Apple fruit pulp is used to treat digestive problems like constipation and stomach discomfort. Leaves and bark are valued for their anti-inflammatory, analgesic and antimicrobial properties. Decoctions are used for cough, cold, fever, joint pain, swelling and skin infections. Fruit juice is also used in some practices to help regulate blood pressure and support liver health.","Elephant Apple is widely used in curries, chutneys, pickles, jams and beverages. In northeastern Indian cuisines such as Assamese, Manipuri and Tripuri, it is commonly used as a souring agent. The tangy pulp is added to fish and meat dishes and used to prepare refreshing drinks.",The Elephant Apple tree is considered auspicious in some regions and is planted near homes for good fortune. It holds a strong place in the culinary traditions of eastern and northeastern India and is commonly used as a shade tree in rural and community spaces.,"Bark: Used in traditional medicine for inflammatory conditions and skin ailments.

Leaves: Large and leathery; used medicinally and help conserve moisture around the tree.

Flowers & Fruit: Large, fragrant white flowers bloom seasonally; segmented acidic fruits ripen and split open, aiding animal-led seed dispersal.",Animations\Flora\Buttons\Dillenia_indica.webp,Yes,Deciduous,Near Waldorf Shopping ,Why is Elephant Apple important for forest regeneration?,Grows fast without water,Fruits are wind dispersed,Animals spread the seeds,Fixes nitrogen in the soil,C
Erythrina indica,Indian Coral Tree,Pangara,Fabaceae,Native,"The Indian Coral Tree is native to the Indian subcontinent and Southeast Asia. It grows naturally in India, Sri Lanka, Myanmar, Thailand, Malaysia and Indonesia. ","India, Sri_Lanka, Myanmar, Thailand, Malaysia, Indonesia, South_Asia, Southeast_Asia","This tree thrives in tropical and subtropical climates, especially in coastal regions, riverbanks and open forests.",Animations\Flora\Single Plants\Erythrina_indica.mp4,Images\Illustrations\Trees\Erythrina_indica.webp,7 - 12 m,Based on typical growth documented  in natural conditions across multiple regions.,Images\Flora\Erythrina_indica_01.webp,Images\Flora\Erythrina_indica_02.webp,Images\Flora\Erythrina_indica_03.webp,Least Concern,LC,"Indian Coral Tree is a medium to large deciduous tree growing about 10 - 15 meters tall, with a spreading crown and stout branches often armed with thorns. It is best known for its brilliant scarlet to orange-red flowers that appear in dense clusters before the leaves emerge, giving the tree a vivid coral-like appearance during the flowering season. After flowering, the tree develops long, slender pods containing hard, bright red seeds. The wood is lightweight and has traditionally been used for making canoes, floats and musical instruments and the tree is often planted as a living fence or shade tree.","The hard, bright red seeds of the Indian Coral Tree are commonly used as prayer beads ornaments and lucky charms because of their striking colour and durability.","The Indian Coral tree's vibrant flowers attract sunbirds, bees and other pollinators, making it an important nectar source during its blooming season. As a nitrogen-fixing tree, it improves soil fertility naturally and supports sustainable agroforestry systems. It is widely used as a shade tree in plantations of coffee, cocoa, tea, pepper and betel nut, contributing to farm biodiversity.","In Ayurvedic and folk medicine, the Indian Coral tree bark is valued for its analgesic, anti-inflammatory and sedative properties and is used to treat joint pain, rheumatism and fever. Leaves are applied externally for swelling, boils and skin infections. Flowers are used in remedies for menstrual issues and constipation. Seeds are used externally in certain treatments but must be handled carefully due to their toxic nature.","In some Southeast Asian regions, young leaves and flowers of the Indian Coral Tree are cooked and eaten as vegetables. In certain tribal communities, the leaves are also used as fodder, though the tree is not a major food source for people.","In India, the Indian Coral Tree is associated with ritual importance and is often planted near temples and sacred spaces. Its bright seasonal flowering makes it a popular ornamental and avenue tree. The species holds a place in traditional ecological knowledge across rural and coastal communities.","Bark: Thick and medicinally important, used for pain relief, fever and inflammation.

Leaves: Large and trifoliate, meaning each leaf has three broad leaflets; used in traditional remedies and as fodder in some regions.

Flowers & Fruit: Scarlet to orange-red flowers bloom before leafing and attract pollinators; long pods form later, containing hard red seeds.",Animations\Flora\Buttons\Erythrina_indica.webp,Yes,Deciduous,Kavesar Garden,Why is Indian Coral Tree commonly planted in plantations?,Enriches the soil ,Produces edible fruits,Wood used for  construction,Seeds are used a food,A
